time,text,udid
2026/01/07 03:37,时间：2026/01/07 03:37周三凌晨，工作日，城市：北京市，Wifi未连接，应用记录：微信(聊天)共17秒，交互2次,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/07 04:14,时间：2026/01/07 04:14周三凌晨，工作日，城市：北京市，Wifi未连接，应用记录：无,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/07 04:30,时间：2026/01/07 04:30周三凌晨，工作日，城市：北京市，POI：餐厅，前16分钟从北京市市内高速移动，Wifi未连接，应用记录：微信(聊天)共7秒，交互1次；高德地图共1秒，交互2次,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/07 06:12,时间：2026/01/07 06:12周三上午，工作日，城市：北京市，前101分钟从北京市市内低速移动，Wifi未连接，应用记录：无,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/07 06:30,时间：2026/01/07 06:30周三上午，工作日，城市：北京市，前18分钟从北京市市内低速移动，Wifi已连接，应用记录：微信共5秒，交互2次；输入法共2秒，交互2次,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/07 14:43,时间：2026/01/07 14:43周三下午，工作日，城市：北京市，POI：地铁站，Wifi未连接，应用记录：相机(相机)共8秒，交互1次；输入法(系统)共6秒，交互1次；支付宝(支付宝)共7秒，交互1次,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/07 16:59,时间：2026/01/07 16:59周三下午，工作日，城市：北京市，POI：博物馆、旅游景点、公园及休憩用地，前136分钟从北京市市内低速移动，Wifi未连接，应用记录：无,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/07 17:42,时间：2026/01/07 17:42周三下午，工作日，城市：北京市，POI：戏剧/音乐和文化、旅游景点、公园及休憩用地、美食附属设施、公司、店铺、餐厅、地铁站，前43分钟从北京市市内低速移动，Wifi未连接，应用记录：微信(聊天)共19秒，交互1次,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/07 18:14,时间：2026/01/07 18:14周三晚上，工作日，城市：北京市，POI：旅游景点、地铁站，前33分钟从北京市市内低速移动，Wifi未连接，应用记录：输入法(系统)共12秒，交互2次,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/07 19:05,时间：2026/01/07 19:05周三晚上，工作日，城市：北京市，POI：旅游景点，前50分钟从北京市市内低速移动，Wifi已连接，应用记录：无,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/07 20:22,时间：2026/01/07 20:22周三晚上，工作日，城市：北京市，POI：旅游景点，Wifi已连接，应用记录：无,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/08 01:58,时间：2026/01/08 01:58周四凌晨，工作日，城市：北京市，POI：公园及休憩用地，Wifi未连接，应用记录：微信共4秒，交互6次；输入法(系统)共29秒，交互1次,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/08 03:41,时间：2026/01/08 03:41周四凌晨，工作日，城市：北京市，POI：便利店、公司，前104分钟从北京市市内低速移动，Wifi未连接，应用记录：通话应用共2秒，交互1次；微信共7秒，交互4次；输入法(系统)共10秒，交互2次,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/08 06:13,时间：2026/01/08 06:13周四上午，工作日，城市：北京市，前152分钟从北京市市内低速移动，Wifi未连接，应用记录：无,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/08 09:01,时间：2026/01/08 09:01周四上午，工作日，城市：北京市，前168分钟从北京市市内低速移动，Wifi已连接，应用记录：无,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/08 09:22,时间：2026/01/08 09:22周四上午，工作日，城市：北京市，Wifi未连接，应用记录：计算器共7秒，交互7次；微信共10秒，交互6次；输入法共1秒，交互2次,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/08 09:59,时间：2026/01/08 09:59周四上午，工作日，城市：北京市，Wifi未连接，应用记录：货拉拉共2秒，交互2次；截屏(系统)共3秒，交互1次；微信共4秒，交互4次；计算器共2秒，交互2次,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/09 06:13,时间：2026/01/09 06:13周五上午，工作日，城市：北京市，POI：体育场、购物中心，前1214分钟从北京市市内低速移动，Wifi未连接，应用记录：相机(相机)共3秒，交互1次,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/09 06:34,时间：2026/01/09 06:34周五上午，工作日，城市：北京市，前21分钟从北京市市内高速移动，Wifi未连接，应用记录：微信共2秒，交互2次；输入法(系统)共9秒，交互2次；高德地图共2秒，交互3次,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/09 07:40,时间：2026/01/09 07:40周五上午，工作日，城市：北京市，POI：购物、餐厅、店铺，前66分钟从北京市市内低速移动，Wifi未连接，应用记录：相机(相机)共4秒，交互1次；支付宝(支付宝)共26秒，交互1次；微信共1秒，交互2次；天气(工具)共10秒，交互1次；输入法(系统)共4秒，交互1次；手机百度共13秒，交互1次,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/09 08:20,时间：2026/01/09 08:20周五上午，工作日，城市：北京市，前39分钟从北京市市内低速移动，Wifi已连接，应用记录：手机百度共1秒，交互1次；输入法(系统)共16秒，交互1次；应用市场共4秒，交互2次；支付宝共9秒，交互3次,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/09 08:44,时间：2026/01/09 08:44周五上午，工作日，城市：北京市，Wifi未连接，应用记录：微信共1秒，交互3次；东方财富(股票基金)共26秒，交互1次；输入法(系统)共4秒，交互1次；手机百度共18秒，交互2次,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/09 14:49,时间：2026/01/09 14:49周五下午，工作日，城市：北京市，POI：店铺、饮食、便利店、购物、餐厅、旅游景点、戏剧/音乐和文化、公园及休憩用地，前366分钟从北京市市内低速移动，Wifi未连接，应用记录：淘宝共12秒，交互4次；通话应用(系统)共34秒，交互1次；输入法(系统)共8秒，交互1次,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/09 18:51,时间：2026/01/09 18:51周五晚上，工作日，城市：北京市，POI：地铁站，前242分钟从北京市市内低速移动，Wifi未连接，应用记录：微信(聊天)共16秒，交互1次；淘宝共10秒，交互2次,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/09 19:27,时间：2026/01/09 19:27周五晚上，工作日，城市：北京市，前36分钟从北京市市内低速移动，Wifi未连接，应用记录：计算器(工具)共9秒，交互2次；微信(聊天)共14秒，交互2次；小红书共3秒，交互4次,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/09 19:45,时间：2026/01/09 19:45周五晚上，工作日，城市：北京市，Wifi未连接，应用记录：输入法(系统)共18秒，交互3次；微信共8秒，交互1次,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/09 20:03,时间：2026/01/09 20:03周五晚上，工作日，城市：北京市，Wifi已连接，应用记录：无,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/10 01:36,时间：2026/01/10 01:36周六凌晨，休息日，城市：北京市，Wifi已连接，应用记录：微信共5秒，交互1次；时钟(时钟)共6秒，交互1次,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/10 02:30,时间：2026/01/10 02:30周六凌晨，休息日，城市：北京市，前55分钟从北京市市内低速移动，Wifi未连接，应用记录：无,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/10 04:39,时间：2026/01/10 04:39周六凌晨，休息日，城市：北京市，前129分钟从北京市市内低速移动，Wifi未连接，应用记录：无,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/10 11:30,时间：2026/01/10 11:30周六上午，休息日，城市：北京市，前411分钟从北京市市内低速移动，Wifi已连接，应用记录：输入法(系统)共18秒，交互1次；手机百度共28秒，交互1次,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/10 11:44,时间：2026/01/10 11:44周六上午，休息日，城市：北京市，Wifi未连接，应用记录：微信共3秒，交互6次；输入法(系统)共5秒，交互1次,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/10 12:26,时间：2026/01/10 12:26周六下午，休息日，城市：北京市，Wifi未连接，应用记录：计算器共8秒，交互7次；输入法共1秒，交互2次,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/10 13:07,时间：2026/01/10 13:07周六下午，休息日，城市：北京市，Wifi未连接，应用记录：计算器(工具)共8秒，交互1次；WPS Office(商务)共18秒，交互1次；微信(聊天)共10秒，交互1次,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/10 13:50,时间：2026/01/10 13:50周六下午，休息日，城市：北京市，Wifi未连接，应用记录：相机(相机)共9秒，交互1次；微信共2秒，交互6次；输入法(系统)共40秒，交互3次；WPS Office(商务)共6秒，交互1次,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/10 14:56,时间：2026/01/10 14:56周六下午，休息日，城市：北京市，Wifi已连接，应用记录：输入法(系统)共3秒，交互1次,0000d06d-b99d-44c9-8efb-e13251fc177e
2026/01/10 16:19,时间：2026/01/10 16:19周六下午，休息日，城市：北京市，POI：旅游景点、戏剧/音乐和文化、公园及休憩用地，前83分钟从北京市市内低速移动，Wifi未连接，应用记录：无,0000d06d-b99d-44c9-8efb-e13251fc177e
